epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70614,1.11587,6.90119,1.42298,0.29032,0.51613,0.27768,0.23797,0.62939,4.28535,0.9956,0.0018,0.0018,0.0018
2,17.152,0.72055,1.71347,1.0443,0.46283,0.6129,0.49293,0.45013,0.54324,2.62334,0.93499,0.00369853,0.00369853,0.00369853
3,26.7974,0.62608,1.40845,0.96146,0.58882,0.77419,0.65056,0.59313,0.4782,0.93747,0.88423,0.00559556,0.00559556,0.00559556
4,34.6335,0.67407,1.38876,0.96343,0.61457,0.46324,0.44528,0.361,0.90907,2.11266,1.19877,0.00749109,0.00749109,0.00749109
5,43.1193,0.67227,1.39857,0.94097,0.52985,0.74194,0.63458,0.57086,0.49103,2.30835,0.91358,0.00938511,0.00938511,0.00938511
6,53.7975,0.77961,1.30128,1.02072,0.31699,0.80645,0.63427,0.52999,0.69922,9.89873,1.02819,0.0099802,0.0099802,0.0099802
7,64.1399,0.78924,1.29736,0.99504,0.54785,0.90323,0.70322,0.6132,0.59399,2.75518,0.95306,0.00997624,0.00997624,0.00997624
8,73.597,0.72378,1.11191,0.96289,0.56359,0.83871,0.63128,0.5458,0.57735,1.23377,0.93709,0.00997228,0.00997228,0.00997228
9,82.7153,0.71439,1.06526,0.96808,0.44782,0.58065,0.43228,0.34899,0.73481,1.51659,1.06545,0.00996832,0.00996832,0.00996832
10,92.2562,0.70537,0.93681,0.94931,0.40027,0.64516,0.50042,0.36886,0.73651,2.67701,1.03024,0.00996436,0.00996436,0.00996436
11,102.45,0.78536,0.97714,0.97511,0.40395,0.74194,0.46065,0.3851,0.66608,1.64072,1.00423,0.0099604,0.0099604,0.0099604
12,112.621,0.74267,0.90646,0.96045,0.5748,0.9595,0.75085,0.66932,0.48578,2.65362,0.89208,0.00995644,0.00995644,0.00995644
13,121.772,0.80828,0.94315,1.01341,0.78507,0.70707,0.84039,0.72688,0.63294,0.89127,0.97047,0.00995248,0.00995248,0.00995248
14,131.737,0.7237,0.90256,0.98238,0.56424,0.74194,0.64851,0.54047,0.62809,1.31021,0.95394,0.00994852,0.00994852,0.00994852
15,141.859,0.79051,0.90204,0.97495,0.6475,0.6129,0.53655,0.41271,0.85979,1.70824,1.138,0.00994456,0.00994456,0.00994456
16,152.301,0.73544,0.88917,0.95449,0.66554,0.83871,0.70646,0.59381,0.64536,1.20349,0.9796,0.0099406,0.0099406,0.0099406
17,161.554,0.7163,0.88374,0.9655,0.60731,0.83871,0.78787,0.67372,0.50969,0.94729,0.90009,0.00993664,0.00993664,0.00993664
18,171.241,0.71481,0.846,0.97521,0.51945,0.73241,0.62573,0.52138,0.65442,1.40059,0.98578,0.00993268,0.00993268,0.00993268
19,180.479,0.76165,0.84275,0.99159,0.49887,0.64516,0.55615,0.47158,0.6348,2.11076,0.97093,0.00992872,0.00992872,0.00992872
20,190.036,0.67072,0.78191,0.94839,0.64765,0.6524,0.6903,0.61173,0.60939,1.04902,0.94716,0.00992476,0.00992476,0.00992476
21,198.683,0.69759,0.842,0.9614,0.35476,0.6129,0.4601,0.37742,0.76705,1.41545,1.07057,0.0099208,0.0099208,0.0099208
22,213.177,0.72692,0.8334,0.97521,0.72584,0.77419,0.75705,0.64772,0.5636,0.90962,0.93966,0.00991684,0.00991684,0.00991684
23,226.2,0.71693,0.82758,0.98014,0.60362,0.93548,0.78198,0.68595,0.54046,1.13272,0.90788,0.00991288,0.00991288,0.00991288
24,240.394,0.65131,0.83012,0.94033,0.66239,0.80645,0.70915,0.62774,0.5557,1.08025,0.92859,0.00990892,0.00990892,0.00990892
25,255.528,0.70463,0.82163,0.95294,0.63912,0.79993,0.71684,0.61759,0.5917,0.94094,0.91895,0.00990496,0.00990496,0.00990496
26,275.668,0.73156,0.77309,0.96326,0.68884,0.87097,0.75801,0.66007,0.53091,0.86789,0.91527,0.009901,0.009901,0.009901
27,337.385,0.68649,0.77544,0.96231,0.69174,0.90323,0.77318,0.65357,0.61596,0.9227,0.97091,0.00989704,0.00989704,0.00989704
28,400.565,0.6818,0.7664,0.94346,0.6557,0.90323,0.72835,0.61803,0.63048,0.80174,0.93118,0.00989308,0.00989308,0.00989308
